3_0; 3_1; 3_2; 3_3; 3_4; 3_5; 3_6; 3_7; 3_8; 3_9; 3_10; 3_11; 3_12
so ( [s-s] [o-əʊ] ); issue # is-sue ˈɪ.ʃuː ( [i-ɪ] [ss-ʃ] [ue-uː] ) NULL; baby # ba-by ˈbeɪ.bi ( [b-b] [a-eɪ] [b-b] [y-i] ) NULL; member # mem-ber ˈmem.bə ( [m-m] [e-e] [m-m] [b-b] [er-ə] ) NULL; unit # u-nit ˈjuː.nɪt ( [u-juː] [n-n] [i-ɪ] [t-t] ) NULL; giant # gi-ant ˈdʒaɪ.ənt ( [g-dʒ] [i-aɪ] [a-ə] [n-n] [t-t] ) NULL; maker # mak-er ˈmeɪk.ə ( [m-m] [a-eɪ] [k-k] [er-ə] ) NULL;  ;  ; country # countr-y ˈkʌntr.i ( [c-k] [ou-ʌ] [n-n] [t-t] [r-r] [y-i] ) NULL; camera # ca-me-ra ˈkæ.mə.rə ( [c-k] [a-æ] [m-m] [e-ə] [r-r] [a-ə] ) NULL; authority # au-tho-ri-ty ɔː.ˈθɒ.rə.ti ( [au-ɔː] [th-θ] [o-ɒ] [r-r] [i-ə] [t-t] [y-i] ) ity; personality # per-so-na-li-ty ˌpɜː.sə.ˈnæ.lɪ.ti ( [p-p] [er-ɜː] [s-s] [o-ə] [n-n] [a-æ] [l-l] [i-ɪ] [t-t] [y-i] ) ity
me ( [m-m] [e-iː] ); power # pow-er ˈpaʊ.ə ( [p-p] [ow-aʊ] [er-ə] ) NULL; fire # fi-re ˈfaɪ.ə ( [f-f] [i-aɪ] [re-ə] ) NULL; almost # al-most ˈɔːl.məʊst ( [a-ɔː] [l-l] [m-m] [o-əʊ] [s-s] [t-t] ) NULL; item # i-tem ˈaɪ.təm ( [i-aɪ] [t-t] [e-ə] [m-m] ) NULL; react # re-act rɪ.ˈækt ( [r-r] [e-ɪ] [a-æ] [c-k] [t-t] ) NULL; tower # tow-er ˈtaʊ.ə ( [t-t] [ow-aʊ] [er-ə] ) NULL;  ;  ; something # some-thing ˈsʌm.θɪŋ ( [s-s] [o.e-ʌ] [m-m] [th-θ] [i-ɪ] [ng-ŋ] ) NULL; finally # fi-nal-ly ˈfaɪ.nə.li ( [f-f] [i-aɪ] [n-n] [a-ə] [ll-l] [y-i] ) NULL; operation # o-pe-ra-tion ˌɒ.pə.ˈreɪʃ.ən ( [o-ɒ] [p-p] [e-ə] [r-r] [a-eɪ] [ti-ʃ] [o-ə] [n-n] ) NULL; negotiation # ne-go-ti-a-tion nɪ.ˌgəʊ.ʃɪ.ˈeɪʃ.ən ( [n-n] [e-ɪ] [g-g] [o-əʊ] [ti-ʃɪ] [a-eɪ] [ti-ʃ] [o-ə] [n-n] ) NULL
no ( [n-n] [o-əʊ] ); until # un-til ʌn.ˈtɪl ( [u-ʌ] [n-n] [t-t] [i-ɪ] [l-l] ) NULL; upon # u-pon ə.ˈpɒn ( [u-ə] [p-p] [o-ɒ] [n-n] ) NULL; follow # fol-low ˈfɒ.ləʊ ( [f-f] [o-ɒ] [ll-l] [o-əʊ] [w-] ) NULL; tiny # ti-ny ˈtaɪ.ni ( [t-t] [i-aɪ] [n-n] [y-i] ) NULL; prior # pri-or ˈpraɪ.ə ( [p-p] [r-r] [i-aɪ] [or-ə] ) NULL; onion # on-ion ˈʌn.jən ( [o-ʌ] [n-n] [i-j] [o-ə] [n-n] ) NULL;  ;  ; ago # a-go ə.ˈgəʊ ( [a-ə] [g-g] [o-əʊ] ) NULL; federal # fe-de-ral ˈfe.də.rəl ( [f-f] [e-e] [d-d] [e-ə] [r-r] [a-ə] [l-l] ) al; necessary # ne-ces-sa-ry ˈne.sə.sə.ri ( [n-n] [e-e] [c-s] [e-ə] [ss-s] [a-ə] [r-r] [y-i] ) NULL; Palestinian # pal-e-stin-i-an ˌpæl.ə.ˈstɪn.ɪ.ən ( [p-p] [a-æ] [l-l] [e-ə] [s-s] [t-t] [i-ɪ] [n-n] [i-ɪ] [a-ə] [n-n] ) NULL
us ( [u-ə] [s-z] ); often # of-ten ˈɒf.tən ( [o-ɒ] [f-f] [t-t] [e-ə] [n-n] ) NULL; unit # u-nit ˈjuː.nɪt ( [u-juː] [n-n] [i-ɪ] [t-t] ) NULL; office # of-fice ˈɒf.ɪs ( [o-ɒ] [ff-f] [i-ɪ] [ce-s] ) NULL; deny # de-ny dɪ.ˈnaɪ ( [d-d] [e-ɪ] [n-n] [y-aɪ] ) NULL; sooner # so-oner ˈsuː.nə ( [s-s] [oo-uː] [n-n] [er-ə] ) er; label # lab-el ˈleɪb.əl ( [l-l] [a-eɪ] [b-b] [el-əl] ) NULL;  ;  ; via # vi-a ˈvaɪ.ə ( [v-v] [i-aɪ] [a-ə] ) NULL; society # so-cie-ty sə.ˈsaɪ.ə.ti ( [s-s] [o-ə] [c-s] [i-aɪ] [e-ə] [t-t] [y-i] ) ty; experience # ex-per-i-ence ɪk.ˈspɪər.ɪ.əns ( [e-ɪ] [x-ks] [p-p] [er-ɪər] [i-ɪ] [e-ə] [n-n] [ce-s] ) NULL; cooperation # co-o-pe-ra-tion kəʊ.ˌɒ.pə.ˈreɪʃ.ən ( [c-k] [o-əʊ] [o-ɒ] [p-p] [e-ə] [r-r] [a-eɪ] [ti-ʃ] [o-ə] [n-n] ) NULL
the ( [th-ð] [e-i:] ); level # lev-el ˈlev.əl ( [l-l] [e-e] [v-v] [el-əl] ) NULL; item # i-tem ˈaɪ.təm ( [i-aɪ] [t-t] [e-ə] [m-m] ) NULL; appear # ap-pear ə.ˈpɪə ( [a-ə] [pp-p] [ear-ɪə] ) NULL; lady # la-dy ˈleɪ.di ( [l-l] [a-eɪ] [d-d] [y-i] ) NULL; poorer # po-orer ˈpʊə.rə ( [p-p] [o-ʊ] [o-ə] [r-r] [er-ə] ) er; decade # dec-ade ˈdek.eɪd ( [d-d] [e-e] [c-k] [a.e-eɪ] [d-d] ) NULL;  ;  ; away # a-way ə.ˈweɪ ( [a-ə] [w-w] [ay-eɪ] ) NULL; century # cen-tu-ry ˈsen.tʃə.ri ( [c-s] [e-e] [n-n] [t-tʃ] [u-ə] [r-r] [y-i] ) NULL; especially # e-spe-cial-ly ɪ.ˈspe.ʃə.li ( [e-ɪ] [s-s] [p-p] [e-e] [ci-ʃ] [a-ə] [ll-l] [y-i] ) NULL; electricity # e-lec-tri-ci-ty ɪ.ˌlek.ˈtrɪ.sɪ.ti ( [e-ɪ] [l-l] [e-e] [c-k] [t-t] [r-r] [i-ɪ] [c-s] [i-ɪ] [t-t] [y-i] ) ity
and ( [a-æ] [n-n] [d-d] ); allow # al-low ə.ˈlaʊ ( [a-ə] [ll-l] [ow-aʊ] ) NULL; tiny # ti-ny ˈtaɪ.ni ( [t-t] [i-aɪ] [n-n] [y-i] ) NULL; expect # ex-pect ɪk.ˈspekt ( [e-ɪ] [x-ks] [p-p] [e-e] [c-k] [t-t] ) NULL; hire # hi-re ˈhaɪ.ə ( [h-h] [i-aɪ] [re-ə] ) NULL; deeper # de-eper ˈdiː.pə ( [d-d] [ee-iː] [p-p] [er-ə] ) er; writer # writ-er ˈraɪt.ə ( [wr-r] [i-aɪ] [t-t] [er-ə] ) NULL;  ;  ; ever # e-ver ˈe.və ( [e-e] [v-v] [er-ə] ) NULL; medical # med-i-cal ˈmed.ɪ.kəl ( [m-m] [e-e] [d-d] [i-ɪ] [c-k] [a-ə] [l-l] ) al; Republican # re-pu-bli-can rɪ.ˈpʌ.blɪ.kən ( [r-r] [e-ɪ] [p-p] [u-ʌ] [b-b] [l-l] [i-ɪ] [c-k] [a-ə] [n-n] ) NULL; manufacturer # ma-nu-fac-tu-rer ˌmæ.njʊ.ˈfæk.tʃə.rə ( [m-m] [a-æ] [n-n] [u-jʊ] [f-f] [a-æ] [c-k] [t-tʃ] [u-ə] [r-r] [er-ə] ) NULL
for ( [f-f] [or-ɔː] ); party # par-ty ˈpɑː.ti ( [p-p] [ar-ɑː] [t-t] [y-i] ) y; deny # de-ny dɪ.ˈnaɪ ( [d-d] [e-ɪ] [n-n] [y-aɪ] ) NULL; effect # ef-fect ɪ.ˈfekt ( [e-ɪ] [ff-f] [e-e] [c-k] [t-t] ) NULL; jury # ju-ry ˈdʒʊə.ri ( [j-dʒ] [u-ʊə] [r-r] [y-i] ) NULL; chooses # cho-oses ˈtʃuː.zɪz ( [ch-tʃ] [oo-uː] [s-z] [e-ɪ] [s-z] ) s; meeting # meet-ing ˈmiːt.ɪŋ ( [m-m] [ee-iː] [t-t] [i-ɪ] [ng-ŋ] ) NULL;  ;  ; city # ci-ty ˈsɪ.ti ( [c-s] [i-ɪ] [t-t] [y-i] ) NULL; officer # of-fic-er ˈɒf.ɪs.ə ( [o-ɒ] [ff-f] [i-ɪ] [c-s] [er-ə] ) NULL; technology # tech-no-lo-gy tek.ˈnɒ.lə.dʒi ( [t-t] [e-e] [ch-k] [n-n] [o-ɒ] [l-l] [o-ə] [g-dʒ] [y-i] ) NULL; investigator # in-ve-sti-ga-tor ɪn.ˈve.stɪ.geɪ.tə ( [i-ɪ] [n-n] [v-v] [e-e] [s-s] [t-t] [i-ɪ] [g-g] [a-eɪ] [t-t] [or-ə] ) or
you ( [y-j] [ou-u] ); early # ear-ly ˈɜː.li ( [ear-ɜː] [l-l] [y-i] ) NULL; lady # la-dy ˈleɪ.di ( [l-l] [a-eɪ] [d-d] [y-i] ) NULL; former # for-mer ˈfɔː.mə ( [f-f] [or-ɔː] [m-m] [er-ə] ) NULL; duty # du-ty ˈdjuː.ti ( [d-d] [u-juː] [t-t] [y-i] ) ty; blooded # blo-oded ˈblʌ.dɪd ( [b-b] [l-l] [oo-ʌ] [d-d] [e-ɪ] [d-d] ) ed; feeling # feel-ing ˈfiːl.ɪŋ ( [f-f] [ee-iː] [l-l] [i-ɪ] [ng-ŋ] ) NULL;  ;  ; body # bo-dy ˈbɒ.di ( [b-b] [o-ɒ] [d-d] [y-i] ) NULL; similar # si-mi-lar ˈsɪ.mə.lə ( [s-s] [i-ɪ] [m-m] [i-ə] [l-l] [ar-ə] ) NULL; population # po-pu-la-tion ˌpɒ.pjʊ.ˈleɪʃ.ən ( [p-p] [o-ɒ] [p-p] [u-jʊ] [l-l] [a-eɪ] [ti-ʃ] [o-ə] [n-n] ) NULL; occasionally # oc-ca-sio-nal-ly əˈk.eɪ.ʒə.nə.li ( [o-ə] [cc-k] [a-eɪ] [si-ʒ] [o-ə] [n-n] [a-ə] [ll-l] [y-i] ) NULL
say ( [s-s] [ay-eɪ] ); offer # of-fer ˈɒ.fə ( [o-ɒ] [ff-f] [er-ə] ) NULL; hire # hi-re ˈhaɪ.ə ( [h-h] [i-aɪ] [re-ə] ) NULL; effort # ef-fort ˈe.fət ( [e-e] [ff-f] [or-ə] [t-t] ) NULL; rely # re-ly rɪ.ˈlaɪ ( [r-r] [e-ɪ] [l-l] [y-aɪ] ) NULL; science # sci-ence ˈsaɪ.əns ( [sc-s] [i-aɪ] [e-ə] [n-n] [ce-s] ) NULL; thousand # thous-and ˈθaʊz.ənd ( [th-θ] [ou-aʊ] [s-z] [a-ə] [n-n] [d-d] ) NULL;  ;  ; open # o-pen ˈəʊ.pən ( [o-əʊ] [p-p] [e-ə] [n-n] ) NULL; natural # nat-ur-al ˈnætʃ.ər.əl ( [n-n] [a-æ] [t-tʃ] [u-ə] [r-r] [a-ə] [l-l] ) al; individual # in-di-vi-dual ˌɪn.dɪ.ˈvɪ.djʊəl ( [i-ɪ] [n-n] [d-d] [i-ɪ] [v-v] [i-ɪ] [d-d] [u-jʊ] [a-ə] [l-l] ) dual; unfortunately # un-for-tu-nate-ly ʌn.ˈfɔː.tʃʊ.nət.li ( [u-ʌ] [n-n] [f-f] [or-ɔː] [t-tʃ] [u-ʊ] [n-n] [a-ə] [t-t] [e-] [l-l] [y-i] ) NULL
his ( [h-h] [i-ɪ] [s-z] ); model # mod-el ˈmɒd.əl ( [m-m] [o-ɒ] [d-d] [el-əl] ) NULL; jury # ju-ry ˈdʒʊə.ri ( [j-dʒ] [u-ʊə] [r-r] [y-i] ) NULL; better # bet-ter ˈbe.tə ( [b-b] [e-e] [tt-t] [er-ə] ) NULL; busy # bu-sy ˈbɪ.zi ( [b-b] [u-ɪ] [s-z] [y-i] ) NULL; greener # gre-ener ˈgriː.nə ( [g-g] [r-r] [ee-iː] [n-n] [er-ə] ) er; training # train-ing ˈtreɪn.ɪŋ ( [t-t] [r-r] [ai-eɪ] [n-n] [i-ɪ] [ng-ŋ] ) NULL;  ;  ; able # ab-le ˈeɪb.əl ( [a-eɪ] [b-b] [le-əl] ) NULL; article # ar-tic-le ˈɑː.tɪk.əl ( [ar-ɑː] [t-t] [i-ɪ] [c-k] [le-əl] ) NULL; television # tel-e-vi-sion ˈtel.ɪ.ˌvɪʒ.ən ( [t-t] [e-e] [l-l] [e-ɪ] [v-v] [i-ɪ] [si-ʒ] [o-ə] [n-n] ) NULL; psychological # psych-o-lo-gic-al ˌsaɪk.ə.ˈlɒ.dʒɪk.əl ( [ps-s] [y-aɪ] [ch-k] [o-ə] [l-l] [o-ɒ] [g-dʒ] [i-ɪ] [c-k] [a-ə] [l-l] ) al
but ( [b-b] [u-ʌ] [t-t] ); during # dur-ing ˈdjʊər.ɪŋ ( [d-d] [u-jʊə] [r-r] [i-ɪ] [ng-ŋ] ) NULL; duty # du-ty ˈdjuː.ti ( [d-d] [u-juː] [t-t] [y-i] ) ty; million # mil-lion ˈmɪ.lɪən ( [m-m] [i-ɪ] [ll-l] [i-ɪ] [o-ə] [n-n] ) NULL; begin # be-gin bɪ.ˈgɪn ( [b-b] [e-ɪ] [g-g] [i-ɪ] [n-n] ) NULL; meetings # me-etings ˈmiː.tɪŋz ( [m-m] [ee-iː] [t-t] [i-ɪ] [ng-ŋ] [s-z] ) s; modern # mod-ern ˈmɒd.ən ( [m-m] [o-ɒ] [d-d] [er-ə] [n-n] ) NULL;  ;  ; data # da-ta ˈdeɪ.tə ( [d-d] [a-eɪ] [t-t] [a-ə] ) NULL; usually # u-sual-ly ˈjuː.ʒə.li ( [u-juː] [s-ʒ] [u-ə] [a-] [ll-l] [y-i] ) NULL; democratic # de-mo-cra-tic ˌde.mə.ˈkræ.tɪk ( [d-d] [e-e] [m-m] [o-ə] [c-k] [r-r] [a-æ] [t-t] [i-ɪ] [c-k] ) NULL; approximately # ap-prox-i-mate-ly ə.ˈprɒk.sɪ.mət.li ( [a-ə] [pp-p] [r-r] [o-ɒ] [x-ks] [i-ɪ] [m-m] [a-ə] [t-t] [e-] [l-l] [y-i] ) NULL
not ( [n-n] [o-ɒ] [t-t] ); number # num-ber ˈnʌm.bə ( [n-n] [u-ʌ] [m-m] [b-b] [er-ə] ) NULL; rely # re-ly rɪ.ˈlaɪ ( [r-r] [e-ɪ] [l-l] [y-aɪ] ) NULL; service # ser-vice ˈsɜː.vɪs ( [s-s] [er-ɜː] [v-v] [i-ɪ] [ce-s] ) NULL; every # eve-ry ˈev.ri ( [e-e] [v-v] [e-] [r-r] [y-i] ) NULL; client # cli-ent ˈklaɪ.ənt ( [c-k] [l-l] [i-aɪ] [e-ə] [n-n] [t-t] ) NULL; global # glob-al ˈgləʊb.əl ( [g-g] [l-l] [o-əʊ] [b-b] [a-ə] [l-l] ) al;  ;  ; easy # ea-sy ˈiː.zi ( [ea-iː] [s-z] [y-i] ) y; exactly # ex-act-ly ɪg.ˈzækt.li ( [e-ɪ] [x-gz] [a-æ] [c-k] [t-t] [l-l] [y-i] ) NULL; particular # par-ti-cu-lar pə.ˈtɪ.kjʊ.lə ( [p-p] [ar-ə] [t-t] [i-ɪ] [c-k] [u-jʊ] [l-l] [ar-ə] ) NULL; administrator # ad-mi-ni-stra-tor əd.ˈmɪ.nɪ.streɪ.tər ( [a-ə] [d-d] [m-m] [i-ɪ] [n-n] [i-ɪ] [s-s] [t-t] [r-r] [a-eɪ] [t-t] [o-ə] [r-r] ) or
she ( [sh-ʃ] [e-i] ); happen # hap-pen ˈhæ.pən ( [h-h] [a-æ] [pp-p] [e-ə] [n-n] ) NULL; busy # bu-sy ˈbɪ.zi ( [b-b] [u-ɪ] [s-z] [y-i] ) NULL; himself # him-self hɪm.ˈself ( [h-h] [i-ɪ] [m-m] [s-s] [e-e] [l-l] [f-f] ) NULL; again # a-gain ə.ˈgen ( [a-ə] [g-g] [ai-e] [n-n] ) NULL; freedom # fre-edom ˈfriː.dəm ( [f-f] [r-r] [ee-iː] [d-d] [o-ə] [m-m] ) NULL; travel # trav-el ˈtræv.əl ( [t-t] [r-r] [a-æ] [v-v] [el-əl] ) NULL;  ;  ; baby # ba-by ˈbeɪ.bi ( [b-b] [a-eɪ] [b-b] [y-i] ) NULL; quality # qua-li-ty ˈkwɒ.lɪ.ti ( [q-k] [u-w] [a-ɒ] [l-l] [i-ɪ] [t-t] [y-i] ) ity; information # in-for-ma-tion ˌɪn.fə.ˈmeɪʃ.ən ( [i-ɪ] [n-n] [f-f] [or-ə] [m-m] [a-eɪ] [ti-ʃ] [o-ə] [n-n] ) NULL; consideration # con-si-de-ra-tion kən.ˌsɪ.də.ˈreɪʃ.ən ( [c-k] [o-ə] [n-n] [s-s] [i-ɪ] [d-d] [e-ə] [r-r] [a-eɪ] [ti-ʃ] [o-ə] [n-n] ) NULL
can ( [c-k] [a-æ] [n-n] ); always # al-ways ˈɔːl.weɪz ( [a-ɔː] [l-l] [w-w] [ay-eɪ] [s-z] ) NULL; begin # be-gin bɪ.ˈgɪn ( [b-b] [e-ɪ] [g-g] [i-ɪ] [n-n] ) NULL; college # col-lege ˈkɒ.lɪdʒ ( [c-k] [o-ɒ] [ll-l] [e-ɪ] [ge-dʒ] ) NULL; today # to-day tə.ˈdeɪ ( [t-t] [o-ə] [d-d] [ay-eɪ] ) NULL; fashion # fashi-on ˈfæʃ.ən ( [f-f] [a-æ] [sh-ʃ] [io-ə] [n-n] ) NULL; reader # read-er ˈriːd.ə ( [r-r] [ea-iː] [d-d] [er-ə] ) NULL;  ;  ; fire # fi-re ˈfaɪ.ə ( [f-f] [i-aɪ] [re-ə] ) NULL; serious # ser-i-ous ˈsɪər.ɪ.əs ( [s-s] [er-ɪər] [i-ɪ] [ou-ə] [s-s] ) ious; development # de-ve-lop-ment dɪ.ˈve.ləp.mənt ( [d-d] [e-ɪ] [v-v] [e-e] [l-l] [o-ə] [p-p] [m-m] [e-ə] [n-n] [t-t] ) ment; representative # re-pre-sen-ta-tive ˌre.prɪ.ˈzen.tə.tɪv ( [r-r] [e-e] [p-p] [r-r] [e-ɪ] [s-z] [e-e] [n-n] [t-t] [a-ə] [t-t] [i.e-ɪ] [v-v] ) NULL
who ( [wh-h] [o-uː] ); mother # moth-er ˈmʌð.ə ( [m-m] [o-ʌ] [th-ð] [er-ə] ) NULL; every # eve-ry ˈev.ri ( [e-e] [v-v] [e-] [r-r] [y-i] ) NULL; suggest # sug-gest sə.ˈdʒest ( [s-s] [u-ə] [gg-dʒ] [e-e] [s-s] [t-t] ) NULL; study # stu-dy ˈstʌ.di ( [s-s] [t-t] [u-ʌ] [d-d] [y-i] ) NULL; deeply # de-eply ˈdiː.pli ( [d-d] [ee-iː] [p-p] [l-l] [y-i] ) ly; prison # pris-on ˈprɪz.ən ( [p-p] [r-r] [i-ɪ] [s-z] [o-ə] [n-n] ) NULL;  ;  ; upon # u-pon ə.ˈpɒn ( [u-ə] [p-p] [o-ɒ] [n-n] ) NULL; general # gen-er-al ˈdʒen.ər.əl ( [g-dʒ] [e-e] [n-n] [e-ə] [r-r] [a-ə] [l-l] ) al; environment # en-vi-ron-ment ɪn.ˈvaɪ.rən.mənt ( [e-ɪ] [n-n] [v-v] [i-aɪ] [r-r] [o-ə] [n-n] [m-m] [e-ə] [n-n] [t-t] ) ment; interpretation # in-ter-pre-ta-tion ɪn.ˌtɜː.prɪ.ˈteɪʃ.ən ( [i-ɪ] [n-n] [t-t] [er-ɜː] [p-p] [r-r] [e-ɪ] [t-t] [a-eɪ] [ti-ʃ] [o-ə] [n-n] ) NULL
get ( [g-g] [e-e] [t-t] ); little # lit-tle ˈlɪt.əl ( [l-l] [i-ɪ] [tt-t] [le-əl] ) NULL; again # a-gain ə.ˈgen ( [a-ə] [g-g] [ai-e] [n-n] ) NULL; perhaps # per-haps pə.ˈhæps ( [p-p] [er-ə] [h-h] [a-æ] [p-p] [s-s] ) NULL; water # wa-ter ˈwɔː.tə ( [w-w] [a-ɔː] [t-t] [er-ə] ) NULL; whereas # where-as ˌweə.ˈæz ( [wh-w] [ere-eə] [a-æ] [s-z] ) NULL; living # liv-ing ˈlɪv.ɪŋ ( [l-l] [i-ɪ] [v-v] [i-ɪ] [ng-ŋ] ) NULL;  ;  ; onto # on-to ˈɒn.tu ( [o-ɒ] [n-n] [t-t] [o-u] ) NULL; benefit # be-ne-fit ˈbe.nɪ.fɪt ( [b-b] [e-e] [n-n] [e-ɪ] [f-f] [i-ɪ] [t-t] ) NULL; traditional # tra-di-tion-al trə.ˈdɪʃ.ən.əl ( [t-t] [r-r] [a-ə] [d-d] [i-ɪ] [ti-ʃ] [o-ə] [n-n] [a-ə] [l-l] ) al; constitutional # con-sti-tu-tion-al ˌkɒn.stɪ.ˈtjuːʃ.ən.əl ( [c-k] [o-ɒ] [n-n] [s-s] [t-t] [i-ɪ] [t-t] [u-juː] [ti-ʃ] [o-ə] [n-n] [a-ə] [l-l] ) al
her ( [h-h] [er-ə] ); father # fath-er ˈfɑːð.ə ( [f-f] [a-ɑː] [th-ð] [er-ə] ) NULL; today # to-day tə.ˈdeɪ ( [t-t] [o-ə] [d-d] [ay-eɪ] ) NULL; ally # al-ly ˈæ.laɪ ( [a-æ] [ll-l] [y-aɪ] ) NULL; money # mo-ney ˈmʌ.ni ( [m-m] [o-ʌ] [n-n] [ey-i] ) NULL; poet # po-et ˈpəʊ.ɪt ( [p-p] [o-əʊ] [e-ɪ] [t-t] ) NULL; rating # rat-ing ˈreɪt.ɪŋ ( [r-r] [a-eɪ] [t-t] [i-ɪ] [ng-ŋ] ) NULL;  ;  ; unit # u-nit ˈjuː.nɪt ( [u-juː] [n-n] [i-ɪ] [t-t] ) NULL; example # ex-amp-le ɪg.ˈzɑːmp.əl ( [e-ɪ] [x-gz] [a-ɑː] [m-m] [p-p] [le-əl] ) NULL; institution # in-sti-tu-tion ˌɪn.stɪ.ˈtjuːʃ.ən ( [i-ɪ] [n-n] [s-s] [t-t] [i-ɪ] [t-t] [u-juː] [ti-ʃ] [o-ə] [n-n] ) NULL; representation # re-pre-sen-ta-tion ˌre.prɪ.zen.ˈteɪʃ.ən ( [r-r] [e-e] [p-p] [r-r] [e-ɪ] [s-z] [e-e] [n-n] [t-t] [a-eɪ] [ti-ʃ] [o-ə] [n-n] ) NULL
all ( [a-ɔː] [ll-l] ); member # mem-ber ˈmem.bə ( [m-m] [e-e] [m-m] [b-b] [er-ə] ) NULL; study # stu-dy ˈstʌ.di ( [s-s] [t-t] [u-ʌ] [d-d] [y-i] ) NULL; carry # car-ry ˈkæ.ri ( [c-k] [a-æ] [rr-r] [y-i] ) NULL; story # sto-ry ˈstɔː.ri ( [s-s] [t-t] [o-ɔː] [r-r] [y-i] ) NULL; bias # bi-as ˈbaɪ.əs ( [b-b] [i-aɪ] [a-ə] [s-s] ) NULL; Jewish # jew-ish ˈdʒuː.ɪʃ ( [j-dʒ] [ew-uː] [i-ɪ] [sh-ʃ] ) ish;  ;  ; item # i-tem ˈaɪ.təm ( [i-aɪ] [t-t] [e-ə] [m-m] ) NULL; manager # ma-na-ger ˈmæ.nɪ.dʒə ( [m-m] [a-æ] [n-n] [a-ɪ] [g-dʒ] [er-ə] ) NULL; participant # par-ti-ci-pant pɑː.ˈtɪ.sɪ.pənt ( [p-p] [ar-ɑː] [t-t] [i-ɪ] [c-s] [i-ɪ] [p-p] [a-ə] [n-n] [t-t] ) NULL; recommendation # rec-om-men-da-tion ˌrek.ə.men.ˈdeɪʃ.ən ( [r-r] [e-e] [c-k] [o-ə] [mm-m] [e-e] [n-n] [d-d] [a-eɪ] [ti-ʃ] [o-ə] [n-n] ) NULL
one ( [one-wʌn] ); almost # al-most ˈɔːl.məʊst ( [a-ɔː] [l-l] [m-m] [o-əʊ] [s-s] [t-t] ) NULL; water # wa-ter ˈwɔː.tə ( [w-w] [a-ɔː] [t-t] [er-ə] ) NULL; table # tab-le ˈteɪb.əl ( [t-t] [a-eɪ] [b-b] [le-əl] ) NULL; among # a-mong ə.ˈmʌŋ ( [a-ə] [m-m] [o-ʌ] [ng-ŋ] ) NULL; lion # li-on ˈlaɪ.ən ( [l-l] [i-aɪ] [o-ə] [n-n] ) NULL; weekend # week-end wiːk.ˈend ( [w-w] [ee-iː] [k-k] [e-e] [n-n] [d-d] ) NULL;  ;  ; tiny # ti-ny ˈtaɪ.ni ( [t-t] [i-aɪ] [n-n] [y-i] ) NULL; imagine # i-ma-gine ɪ.ˈmæ.dʒɪn ( [i-ɪ] [m-m] [a-æ] [g-dʒ] [i.e-ɪ] [n-n] ) NULL; reality # re-a-li-ty rɪ.ˈæ.lɪ.ti ( [r-r] [e-ɪ] [a-æ] [l-l] [i-ɪ] [t-t] [y-i] ) ity; ideology # i-de-o-lo-gy ˌaɪ.dɪ.ˈɒ.lə.dʒi ( [i-aɪ] [d-d] [e-ɪ] [o-ɒ] [l-l] [o-ə] [g-dʒ] [y-i] ) NULL
out ( [ou-aʊ] [t-t] ); follow # fol-low ˈfɒ.ləʊ ( [f-f] [o-ɒ] [ll-l] [o-əʊ] [w-] ) NULL; money # mo-ney ˈmʌ.ni ( [m-m] [o-ʌ] [n-n] [ey-i] ) NULL; order # or-der ˈɔː.də ( [or-ɔː] [d-d] [er-ə] ) NULL; later # la-ter ˈleɪ.tə ( [l-l] [a-eɪ] [t-t] [er-ə] ) NULL; riot # ri-ot ˈraɪ.ət ( [r-r] [i-aɪ] [o-ə] [t-t] ) NULL; British # brit-ish ˈbrɪt.ɪʃ ( [b-b] [r-r] [i-ɪ] [t-t] [i-ɪ] [sh-ʃ] ) ish;  ;  ; deny # de-ny dɪ.ˈnaɪ ( [d-d] [e-ɪ] [n-n] [y-aɪ] ) NULL; popular # po-pu-lar ˈpɒ.pjʊ.lə ( [p-p] [o-ɒ] [p-p] [u-jʊ] [l-l] [ar-ə] ) NULL; anybody # a-ny-bo-dy ˈe.ni.bɒ.di ( [a-e] [n-n] [y-i] [b-b] [o-ɒ] [d-d] [y-i] ) NULL; liability # li-a-bi-li-ty ˌlaɪ.ə.ˈbɪ.lɪ.ti ( [l-l] [i-aɪ] [a-ə] [b-b] [i-ɪ] [l-l] [i-ɪ] [t-t] [y-i] ) ility
